High resolution CTD - Bottle,,       1953769.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954163,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9986,decimal degrees,,
Longitude                   ,,       162.7964,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             20,,,
Time                        ,,           1.98,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6015.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954164,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9986,decimal degrees,,
Longitude                   ,,       162.7964,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             20,,,
Time                        ,,           5.22,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          6015.,meters,,
High resolution CTD - Bottle,,       1953770.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954165,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9990,decimal degrees,,
Longitude                   ,,       163.3729,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             20,,,
Time                        ,,          12.37,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5992.,meters,,
High resolution CTD - Bottle,,       1953771.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954166,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       163.9499,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             20,,,
Time                        ,,          19.22,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5956.,meters,,
High resolution CTD - Bottle,,       1953772.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954167,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0005,decimal degrees,,
Longitude                   ,,       164.5265,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             21,,,
Time                        ,,          0.850,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5888.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954168,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0005,decimal degrees,,
Longitude                   ,,       164.5266,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             21,,,
Time                        ,,           4.08,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5888.,meters,,
High resolution CTD - Bottle,,       1953773.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954169,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9998,decimal degrees,,
Longitude                   ,,       165.1040,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             21,,,
Time                        ,,          11.08,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5851.,meters,,
High resolution CTD - Bottle,,       1953774.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954170,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9991,decimal degrees,,
Longitude                   ,,       165.6802,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             21,,,
Time                        ,,          18.13,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5976.,meters,,
High resolution CTD - Bottle,,       1953775.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954171,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       166.2579,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             21,,,
Time                        ,,          23.78,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5904.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954172,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       166.2578,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             22,,,
Time                        ,,           2.83,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5904.,meters,,
High resolution CTD - Bottle,,       1953776.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954173,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       166.8343,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             22,,,
Time                        ,,           9.90,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6123.,meters,,
High resolution CTD - Bottle,,       1953777.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954174,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9993,decimal degrees,,
Longitude                   ,,       167.4118,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             22,,,
Time                        ,,          16.98,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6003.,meters,,
High resolution CTD - Bottle,,       1953778.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954175,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0002,decimal degrees,,
Longitude                   ,,       167.9885,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             22,,,
Time                        ,,          22.52,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5887.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954176,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0003,decimal degrees,,
Longitude                   ,,       167.9885,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             23,,,
Time                        ,,           2.07,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5887.,meters,,
High resolution CTD - Bottle,,       1953779.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954177,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9994,decimal degrees,,
Longitude                   ,,       168.5663,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             23,,,
Time                        ,,           9.07,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5861.,meters,,
High resolution CTD - Bottle,,       1953780.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954178,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9992,decimal degrees,,
Longitude                   ,,       169.1427,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             23,,,
Time                        ,,          15.97,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5725.,meters,,
High resolution CTD - Bottle,,       1953781.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954179,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0003,decimal degrees,,
Longitude                   ,,       169.7190,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             23,,,
Time                        ,,          21.42,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5678.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954180,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0004,decimal degrees,,
Longitude                   ,,       169.7191,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             24,,,
Time                        ,,          0.633,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5678.,meters,,
High resolution CTD - Bottle,,       1953782.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954181,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9997,decimal degrees,,
Longitude                   ,,       170.2968,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             24,,,
Time                        ,,           7.48,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5568.,meters,,
High resolution CTD - Bottle,,       1953783.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954182,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9988,decimal degrees,,
Longitude                   ,,       170.8733,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             24,,,
Time                        ,,          14.35,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5597.,meters,,
High resolution CTD - Bottle,,       1953784.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954183,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       171.4509,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             24,,,
Time                        ,,          19.72,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5392.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954184,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0000,decimal degrees,,
Longitude                   ,,       171.4509,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             24,,,
Time                        ,,          22.73,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5392.,meters,,
High resolution CTD - Bottle,,       1953785.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954185,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9999,decimal degrees,,
Longitude                   ,,       172.0274,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             25,,,
Time                        ,,           5.25,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5122.,meters,,
High resolution CTD - Bottle,,       1953786.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954186,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0003,decimal degrees,,
Longitude                   ,,       172.6047,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             25,,,
Time                        ,,          11.72,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5594.,meters,,
High resolution CTD - Bottle,,       1953787.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954187,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9999,decimal degrees,,
Longitude                   ,,       173.1817,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             25,,,
Time                        ,,          17.12,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5247.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954188,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9999,decimal degrees,,
Longitude                   ,,       173.1818,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             25,,,
Time                        ,,          19.93,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          5247.,meters,,
High resolution CTD - Bottle,,       1953788.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954189,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        30.0004,decimal degrees,,
Longitude                   ,,       173.3407,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             26,,,
Time                        ,,           2.38,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          4370.,meters,,
High resolution CTD - Bottle,,       1953789.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954190,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55058       ,,,
Originators Cruise ID       ,,33RR20220430   ,,,
Latitude                    ,,        29.9999,decimal degrees,,
Longitude                   ,,       173.7183,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              5,,,
Day                         ,,             26,,,
Time                        ,,           8.13,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2220.,meters,,
High resolution CTD - Bottle,,       1953790.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
